1/1/2014 18:21,,
100,100,101
100,101,102
101,102,104
102,103,105
102,104,100
,,103
,,106


1/2/2014 18:21,,
100,100,103
101,102,106
100,101,105
102,103,104
102,104,101
,,100
,,102


1/3/2014 18:21,,
100,100,104
101,102,100
102,103,102
100,101,103
102,104,106
,,101
,,105


1/4/2014 18:21,,
101,102,101
100,100,105
102,104,102
100,101,104
102,103,100
,,103
,,106


1/5/2014 18:21,,
102,104,102
101,102,105
102,103,103
100,101,101
100,100,106
,,100
,,104


1/6/2014 18:21,,
100,100,100
102,104,105
101,102,103
100,101,100
102,103,106
,,101
,,102
,,104


1/7/2014 18:21,,
102,103,101
102,104,103
100,101,106
100,100,100
101,102,102
,,104
,,105


1/8/2014 18:21,,
100,100,102
,,100
,,101
,,103
,,104
,,105
,,106


1/9/2014 18:21,,
100,101,100
102,104,102
100,100,101
101,102,103
102,103,105
,,104
,,106


1/10/2014 18:21,,
100,100,106
101,102,104
100,101,105
102,103,101
102,104,103
,,100
,,102


1/11/2014 18:21,,
100,101,101
102,104,102
100,100,104
101,102,106
102,103,100
,,103
,,105


1/12/2014 18:21,,
100,100,105
102,103,103
101,102,101
102,104,100
100,101,106
,,102
,,104


1/13/2014 18:21,,
102,104,101
102,103,104
101,102,105
100,100,102
100,101,103
,,100
,,106


1/14/2014 18:21,,
102,104,105
102,103,106
100,101,104
101,102,102
100,100,100
,,101
,,103


1/15/2014 18:21,,
101,102,100
100,100,103
102,104,106
100,101,100
102,103,102
,,101
,,104
,,105


1/16/2014 18:21,,
100,101,102
,,100
,,101
,,103
,,104
,,105
,,106


1/17/2014 18:21,,
100,100,100
101,102,101
102,103,103
,,102
,,104
,,105
,,106


1/18/2014 18:21,,
100,100,102
101,102,106
102,103,105
100,101,101
102,104,103
,,100
,,104


1/19/2014 18:21,,
101,102,100
100,100,104
100,101,105
102,103,106
102,104,102
,,101
,,103


1/20/2014 18:21,,
100,100,103
102,103,101
101,102,101
100,101,100
102,104,104
,,102
,,105
,,106


1/21/2014 18:21,,
100,100,106
102,104,101
101,102,105
102,103,102
100,101,103
,,100
,,104


1/22/2014 18:21,,
102,103,100
101,102,104
100,101,102
102,104,106
100,100,105
,,101
,,103


1/23/2014 18:21,,
100,100,101
101,102,103
102,104,105
100,101,100
102,103,104
,,102
,,106


1/24/2014 18:21,,
101,102,102
100,101,104
,,100
,,101
,,103
,,105
,,106


1/25/2014 18:21,,
100,101,100
102,104,102
100,100,101
101,102,103
102,103,106
,,104
,,105


1/26/2014 18:21,,
100,100,104
101,102,105
100,101,106
102,103,103
102,104,101
,,100
,,102


1/27/2014 18:21,,
100,100,102
101,102,100
100,101,103
102,103,105
102,104,104
,,101
,,106


1/28/2014 18:21,,
101,102,101
100,100,106
102,103,100
100,101,102
102,104,105
,,103
,,104


1/29/2014 18:21,,
100,100,103
102,104,100
101,102,106
102,103,104
100,101,101
,,102
,,105


1/30/2014 18:21,,
100,100,105
102,104,106
100,101,100
101,102,104
102,103,102
,,101
,,103


1/31/2014 18:21,,
102,103,101
101,102,102
100,101,104
,,100
,,103
,,105
,,106
