2/1/2014 9:55:08 AM
101,102,100
100,100,104
100,101,101
102,103,103
102,104,102
,,105
,,106


2/2/2014 9:55:08 AM
101,102,106
100,100,105
102,104,103
100,101,100
102,103,104
,,101
,,102


2/3/2014 9:55:08 AM
102,104,104
100,101,106
101,102,105
100,100,101
102,103,102
,,100
,,103


2/4/2014 9:55:08 AM
102,103,100
100,100,103
102,104,105
101,102,101
100,101,102
,,104
,,106


2/5/2014 9:55:08 AM
102,104,101
101,102,104
100,100,100
100,101,103
102,103,106
,,102
,,105


2/6/2014 9:55:08 AM
102,104,100
100,101,104
102,103,105
100,100,106
101,102,102
,,101
,,103


2/7/2014 9:55:08 AM
102,103,101
100,100,102
101,102,103
100,101,105
102,104,106
,,100
,,104


2/1/2014 9:55:08 AM
101,102,100
100,100,104
100,101,101
102,103,102
102,104,103
,,105
,,106


2/2/2014 9:55:08 AM
101,102,105
102,103,106
102,104,104
100,101,100
100,100,102
,,101
,,103


2/3/2014 9:55:08 AM
102,104,102
100,101,106
100,100,105
101,102,101
102,103,103
,,100
,,104


2/4/2014 9:55:08 AM
102,103,100
101,102,104
102,104,105
100,100,101
100,101,103
,,102
,,106


2/5/2014 9:55:08 AM
102,104,101
101,102,102
100,100,100
100,101,104
,,103
,,105
,,106


2/6/2014 9:55:08 AM
102,104,100
100,101,102
102,103,105
100,100,103
101,102,106
,,101
,,104


2/7/2014 9:55:08 AM
101,102,103
102,103,104
100,101,105
100,100,106
,,100
,,101
,,102


